time,tick,attack,damage,variant,state,phase,upperWeight,lowerWeight,bladeX,bladeY,bladeZ,cast,abilityDamage,baseState,basePhase,deaths,timeScale,heldAnchor,flyingAnchors,handX,handY,handZ
2.666667,79,0,0,-1,other,1.755558,0.000000,0.000000,-0.007033,1.193735,0.773117,0,0,1160858440,0.290720,0,1.000000,1,0,-0.171753,1.013286,0.433189
2.700000,80,0,0,-1,other,1.777780,0.000000,0.000000,0.000220,1.204948,0.778661,0,0,1160858440,0.294400,0,1.000000,1,0,-0.172149,1.014581,0.437970
2.733333,81,0,0,-1,other,1.800002,0.000000,0.000000,0.004448,1.220393,0.785538,0,0,1160858440,0.298080,0,1.000000,1,0,-0.172343,1.019058,0.445263
2.766667,82,0,0,-1,other,1.822224,0.000000,0.000000,0.006510,1.238835,0.793218,0,0,1160858440,0.301760,0,1.000000,1,0,-0.172478,1.025459,0.454267
2.800000,83,0,0,-1,other,1.844447,0.000000,0.000000,0.007934,1.259332,0.801004,0,0,1160858440,0.305440,0,1.000000,1,0,-0.172763,1.032616,0.464013
2.833333,84,0,0,-1,other,1.866669,0.000000,0.000000,0.007706,1.280367,0.809160,0,0,1160858440,0.309120,0,1.000000,1,0,-0.173704,1.039730,0.474898
2.866667,85,0,0,-1,other,1.888891,0.000000,0.000000,0.005634,1.300603,0.816552,0,0,1160858440,0.312800,0,1.000000,1,0,-0.174968,1.046174,0.485885
2.900000,86,0,0,-1,other,1.911114,0.000000,0.000000,0.000402,1.318625,0.822998,0,0,1160858440,0.316480,0,1.000000,1,0,-0.177330,1.051230,0.496863
2.933333,87,0,0,-1,other,1.933336,0.000000,0.000000,-0.008201,1.333729,0.828403,0,0,1160858440,0.320160,0,1.000000,1,0,-0.180155,1.054437,0.507475
2.966667,88,0,0,-1,other,1.955558,0.000000,0.000000,-0.023318,1.337456,0.832832,0,0,1160858440,0.323840,0,1.000000,1,0,-0.183576,1.054758,0.515950
3.000000,89,0,0,-1,other,1.977780,0.000000,0.000000,-0.043060,1.329120,0.837927,0,0,1160858440,0.327520,0,1.000000,1,0,-0.187349,1.052828,0.523099
3.033333,90,0,0,-1,other,2.000003,0.000000,0.000000,-0.059278,1.314826,0.842490,0,0,1160858440,0.331200,0,1.000000,1,0,-0.190931,1.049273,0.528544
3.066667,91,0,0,-1,other,2.022225,0.000000,0.000000,-0.067344,1.297224,0.846344,0,0,1160858440,0.334880,0,1.000000,1,0,-0.194520,1.044998,0.532092
3.100000,92,0,0,-1,other,2.044447,0.000000,0.000000,-0.065759,1.281331,0.848848,0,0,1160858440,0.338560,0,1.000000,1,0,-0.197869,1.040758,0.533879
3.133333,93,0,0,-1,other,2.066669,0.000000,0.000000,-0.060145,1.269214,0.849203,0,0,1160858440,0.342240,0,1.000000,1,0,-0.200551,1.036829,0.533480
3.166667,94,0,0,-1,other,2.088892,0.000000,0.000000,-0.055794,1.261046,0.847738,0,0,1160858440,0.345920,0,1.000000,1,0,-0.202925,1.033787,0.530870
3.200000,95,0,0,-1,other,2.111114,0.000000,0.000000,-0.052827,1.255878,0.844843,0,0,1160858440,0.349600,0,1.000000,1,0,-0.205178,1.031667,0.526585
3.233333,96,0,0,-1,other,2.133336,0.000000,0.000000,-0.051648,1.253818,0.840625,0,0,1160858440,0.353280,0,1.000000,1,0,-0.207080,1.031455,0.520649
3.266667,97,0,0,-1,other,2.155559,0.000000,0.000000,-0.052198,1.253098,0.835569,0,0,1160858440,0.356960,0,1.000000,1,0,-0.208633,1.032741,0.513482
3.300000,98,0,0,-1,other,2.177781,0.000000,0.000000,-0.053371,1.254461,0.829474,0,0,1160858440,0.360640,0,1.000000,1,0,-0.209758,1.035127,0.505245
3.333333,99,0,0,-1,other,2.200003,0.000000,0.000000,-0.053394,1.258643,0.822448,0,0,1160858440,0.364320,0,1.000000,1,0,-0.210296,1.037901,0.496074
3.366667,100,0,0,-1,other,2.222225,0.000000,0.000000,-0.051750,1.264044,0.815330,0,0,1160858440,0.368000,0,1.000000,1,0,-0.210661,1.040482,0.486199
3.400000,101,0,0,-1,other,2.244448,0.000000,0.000000,-0.046738,1.268566,0.808634,0,0,1160858440,0.371680,0,1.000000,1,0,-0.210659,1.042399,0.475449
3.433333,102,0,0,-1,other,2.266670,0.000000,0.000000,-0.036550,1.270100,0.802871,0,0,1160858440,0.375360,0,1.000000,1,0,-0.209560,1.043607,0.463887
3.466667,103,0,0,-1,other,2.288892,0.000000,0.000000,-0.022394,1.269441,0.797829,0,0,1160858440,0.379040,0,1.000000,1,0,-0.207165,1.044157,0.452426
3.500000,104,0,0,-1,other,2.311115,0.000000,0.000000,-0.008321,1.267677,0.792238,0,0,1160858440,0.382720,0,1.000000,1,0,-0.204663,1.043031,0.441433
3.533333,105,0,0,-1,other,2.333337,0.000000,0.000000,0.003543,1.263885,0.785755,0,0,1160858440,0.386400,0,1.000000,1,0,-0.202778,1.039504,0.431134
3.566667,106,0,0,-1,other,2.355559,0.000000,0.000000,0.014245,1.256872,0.778787,0,0,1160858440,0.390080,0,1.000000,1,0,-0.200553,1.034312,0.421727
3.600000,107,0,0,-1,other,2.377781,0.000000,0.000000,0.023080,1.246268,0.773735,0,0,1160858440,0.393760,0,1.000000,1,0,-0.198410,1.027521,0.414387
3.633333,108,0,0,-1,other,2.400004,0.000000,0.000000,0.028765,1.233688,0.769527,0,0,1160858440,0.397440,0,1.000000,1,0,-0.196016,1.019075,0.407330
3.666667,109,0,0,-1,other,2.422226,0.000000,0.000000,0.030017,1.221465,0.766536,0,0,1160858440,0.401120,0,1.000000,1,0,-0.193308,1.010289,0.401206
3.700000,110,0,0,-1,other,2.444448,0.000000,0.000000,0.028701,1.209851,0.764746,0,0,1160858440,0.404800,0,1.000000,1,0,-0.190096,1.002662,0.396697
3.733333,111,0,0,-1,other,2.466671,0.000000,0.000000,0.028370,1.200289,0.764156,0,0,1160858440,0.408480,0,1.000000,1,0,-0.186872,0.997264,0.394184
3.766667,112,0,0,-1,other,2.488893,0.000000,0.000000,0.029351,1.197329,0.765063,0,0,1160858440,0.412160,0,1.000000,1,0,-0.184120,0.995164,0.394058
3.800000,113,0,0,-1,other,2.511115,0.000000,0.000000,0.030711,1.201376,0.767682,0,0,1160858440,0.415840,0,1.000000,1,0,-0.182280,0.996857,0.396606
3.833333,114,0,0,-1,other,2.533337,0.000000,0.000000,0.032158,1.210403,0.771786,0,0,1160858440,0.419520,0,1.000000,1,0,-0.181420,1.001770,0.401631
3.866667,115,0,0,-1,other,2.555560,0.000000,0.000000,0.033386,1.222319,0.776984,0,0,1160858440,0.423200,0,1.000000,1,0,-0.181368,1.009125,0.408643
3.900000,116,0,0,-1,other,2.577782,0.000000,0.000000,0.034301,1.235345,0.783115,0,0,1160858440,0.426880,0,1.000000,1,0,-0.182056,1.018266,0.417181
3.933333,117,0,0,-1,other,2.600004,0.000000,0.000000,0.034931,1.247489,0.790397,0,0,1160858440,0.430560,0,1.000000,1,0,-0.182881,1.028664,0.427321
3.966667,118,0,0,-1,other,2.622226,0.000000,0.000000,0.034964,1.256456,0.798906,0,0,1160858440,0.434240,0,1.000000,1,0,-0.183559,1.039456,0.438943
4.000000,119,0,0,-1,other,2.644449,0.000000,0.000000,0.035190,1.262898,0.808347,0,0,1160858440,0.437920,0,1.000000,1,0,-0.183748,1.049662,0.451565
4.033333,120,0,0,-1,other,2.666671,0.000000,0.000000,0.034981,1.269435,0.818105,0,0,1160858440,0.441600,0,1.000000,1,0,-0.183752,1.058944,0.464630
4.066667,121,0,0,-1,other,2.688893,0.000000,0.000000,0.033449,1.276078,0.826585,0,0,1160858440,0.445280,0,1.000000,1,0,-0.183522,1.066930,0.476435
4.100000,122,0,0,-1,other,2.711116,0.000000,0.000000,0.029680,1.283135,0.833839,0,0,-1271534392,0.222222,0,1.000000,1,0,-0.183131,1.073495,0.487045
4.133333,123,0,0,-1,other,2.733338,0.000000,0.000000,0.023535,1.288079,0.840282,0,0,-1271534392,0.333333,0,1.000000,1,0,-0.183198,1.077601,0.496576
4.166667,124,0,0,-1,other,2.755560,0.000000,0.000000,0.015886,1.291091,0.845585,0,0,-1271534392,0.444444,0,1.000000,1,0,-0.183442,1.079077,0.504624
4.200000,125,0,0,-1,other,2.777782,0.000000,0.000000,0.008236,1.292891,0.849431,0,0,-1271534392,0.555556,0,1.000000,1,0,-0.183299,1.078017,0.510772
4.233333,126,0,0,-1,other,2.800005,0.000000,0.000000,0.001565,1.293481,0.851517,0,0,-1271534392,0.666667,0,1.000000,1,0,-0.182368,1.074470,0.514807
4.266667,127,0,0,-1,other,2.822227,0.000000,0.000000,-0.005103,1.292011,0.852088,0,0,-1271534392,0.777778,0,1.000000,1,0,-0.182723,1.067511,0.517600
4.300000,128,0,0,-1,other,2.844449,0.000000,0.000000,-0.011264,1.289674,0.851590,0,0,576708132,0.014720,0,1.000000,1,0,-0.184893,1.059150,0.519642
